Disease ID,Disease Name,Disease Class,associated_gene_id
C0025149,Medulloblastoma,cancer,"1021, 10389, 11186, 114826, 1499, 1755, 1786, 2064, 2100, 23030, 23081, 2313, 23476, 23532, 29, 3090, 324, 4352, 4609, 4610, 4613, 474, 5015, 5156, 51684, 5294, 5727, 6046, 6275, 6277, 6281, 6447, 6502, 675, 6774, 7409, 79813, 7994, 8019, 83746, 84456, 8643, 8660, 898, 92335"
C0027726,Nephrotic Syndrome,urinary system disease,"1277, 1282, 1284, 2, 213, 2152, 2247, 2262, 2981, 3123, 3291, 3558, 462, 4690, 5054, 6648, 7018, 7040, 7827, 8440, 914"
C0008924,Cleft Lip,orofacial cleft,"10253, 10588, 2247, 2248, 2252, 2253, 2254, 2255, 2260, 2261, 2263, 23743, 24, 3664, 4524, 4548, 4609, 4846, 5727, 6573, 6948, 7055, 7298, 7341, 8626, 9935"
C0008925,Cleft Palate,orofacial cleft,"10253, 10588, 1147, 1280, 1739, 1950, 2247, 2248, 2252, 2253, 2254, 2255, 2260, 2261, 2263, 23314, 23743, 3664, 374654, 4335, 4487, 4548, 4609, 4846, 5156, 54796, 5727, 5916, 6259, 6493, 6573, 7040, 7042, 7043, 7298, 7341, 8322, 8573, 8626, 865"
C0887833,"Carcinoma, Pancreatic Ductal",cancer,"10232, 1029, 10397, 182, 1840, 185, 23220, 23462, 23493, 3280, 3303, 3304, 3714, 384, 3845, 4780, 4851, 4854, 4855, 7422"
C0027720,Nephrosis,urinary system disease,"10763, 10855, 1649, 1674, 183, 1906, 1910, 213, 2147, 3383, 3689, 5972, 6647, 7431, 7827"
C0026636,Mouth Diseases,gastrointestinal system disease,"10036, 2189, 2937, 3301, 51182, 54541, 56603, 5743, 6283, 672, 8208, 9518"
C0740392,"Infarction, Middle Cerebral Artery",cardiovascular system disease,"134, 1906, 2353, 240, 2920, 3329, 3383, 3569, 3572, 3726, 4318, 467, 4803, 5327, 5328, 5337, 56848, 6347, 6354, 6648, 6774, 7130, 718, 7498, 871"
C0020538,Hypertensive disease,cardiovascular system disease,"10052, 100528007, 10451, 1071, 10911, 10928, 111, 11255, 114818, 118, 1187, 119032, 1215, 1277, 1281, 128611, 1395, 1401, 140733, 143872, 1490, 150, 153, 1535, 1536, 1543, 156, 1636, 1813, 183, 185, 186, 1889, 1906, 1908, 1909, 196, 2006, 2056, 210, 213, 2160, 2161, 221357, 2242, 23327, 2335, 2353, 246, 2475, 26, 2641, 2643, 2697, 2701, 2702, 27020, 2729, 27347, 2740, 2778, 2784, 2796, 2811, 283450, 2863, 2876, 2908, 2920, 2952, 2953, 2982, 301, 3077, 3091, 3162, 3240, 3290, 3291, 335, 3357, 3383, 3479, 348, 348932, 358, 3630, 367, 3758, 3779, 3816, 389036, 3952, 3953, 3972, 4023, 4057, 4158, 4190, 4313, 4343, 4363, 4646, 475, 476, 477, 4843, 4846, 486, 4878, 4879, 4881, 490, 492, 4973, 5020, 5054, 51083, 51196, 51752, 5327, 5340, 5443, 5465, 5468, 5473, 54897, 551, 5580, 5624, 56996, 5728, 5741, 5743, 57623, 59272, 596, 5970, 5972, 5997, 6198, 624, 63036, 6337, 6338, 6340, 6347, 6403, 64116, 65125, 65266, 6530, 653361, 6558, 6559, 6647, 6648, 6649, 6786, 6794, 6869, 7040, 7052, 7124, 7148, 7157, 7168, 7200, 7222, 7224, 7349, 7351, 7369, 7412, 7421, 7450, 7518, 775, 781, 783, 7917, 796, 829, 847, 84876, 8490, 857, 8639, 875, 8870, 9351, 9370, 9445, 948, 9943"
C0236969,Substance-Related Disorders,substance-related disorder,"1012, 10160, 10207, 10257, 105, 1080, 11278, 1129, 1138, 114134, 114786, 114788, 121601, 1268, 140683, 140733, 143098, 143379, 143458, 143503, 147685, 1565, 1653, 167465, 1769, 1793, 1813, 1826, 1962, 2120, 2166, 2272, 22925, 22998, 23034, 23214, 23307, 23345, 253782, 25807, 259217, 26230, 27146, 2893, 2898, 29119, 29126, 2915, 2917, 29922, 344805, 3643, 3899, 3983, 401207, 4482, 4646, 481, 4852, 4897, 4985, 5087, 51082, 51151, 5137, 51660, 5366, 54927, 55198, 55297, 55690, 55691, 55717, 55742, 5581, 5583, 55930, 57451, 5768, 57733, 5890, 64131, 64478, 64866, 65217, 6532, 6555, 6581, 7260, 79632, 79750, 79809, 79875, 80031, 80034, 80095, 80206, 8048, 81035, 83938, 8412, 84247, 84668, 84871, 8569, 9128, 91752, 9271, 93664, 9369, 9465, 9547, 9557, 9748"
C0032460,Polycystic Ovary Syndrome,polycystic ovary syndrome,"10058, 1013, 104, 10413, 10454, 10468, 10772, 11173, 113251, 114822, 1164, 116840, 126306, 131566, 1364, 144577, 146433, 146664, 147906, 151354, 158314, 1588, 164395, 1645, 1646, 170394, 171558, 1742, 1756, 1995, 22924, 23112, 23162, 2324, 23658, 23671, 2492, 2529, 2549, 256472, 256933, 257106, 25865, 259266, 2661, 2778, 2812, 286749, 29127, 29997, 30000, 3070, 3084, 3161, 3283, 3284, 338324, 347088, 349565, 3500, 3630, 3643, 374920, 374955, 378938, 3850, 388552, 3952, 3972, 3973, 3976, 3977, 4000, 4058, 4085, 440836, 441151, 4544, 4603, 466, 4796, 50943, 5120, 5140, 51477, 53335, 54206, 54443, 54947, 55165, 55503, 55721, 55783, 55872, 563, 56946, 57104, 5724, 5733, 57449, 57455, 57636, 57706, 57731, 581, 5862, 5869, 5950, 596, 6102, 6168, 6241, 6286, 6337, 6343, 63892, 6440, 653545, 6665, 6715, 6770, 6821, 6899, 6939, 7037, 7110, 7153, 7272, 7328, 7755, 79039, 79685, 79694, 79906, 80127, 80264, 8091, 817, 84376, 8463, 84909, 8572, 864, 8644, 8817, 891, 90326, 90668, 9134, 91608, 9200, 9205, 9210, 93611, 93659, 990"
C0011882,Diabetic Neuropathies,nervous system disease,"1129, 2915, 3082, 3643, 4311, 4313, 4318, 4908, 6446, 7040, 7099, 836, 847"
C0002878,"Anemia, Hemolytic",immune system disease,"2056, 2539, 2729, 2821, 2936, 3043, 3162, 3440, 3704, 6521, 6710, 7167"
C0023343,Leprosy,bacterial infectious disease,"100499166, 1016, 101928661, 102723878, 10981, 114134, 124460, 1327, 135138, 144811, 149233, 283234, 400757, 4049, 50514, 5071, 55509, 6556, 7096, 7097, 79747, 81861, 8767, 8778, 9173, 9966"
C0024796,Marfan Syndrome,monogenic disease,"2200, 3915, 4053, 4313, 4318, 4843, 6647, 6648, 7048, 847"
C0003873,Rheumatoid Arthritis,musculoskeletal system disease,"100506023, 10057, 10125, 101927437, 1021, 10257, 10274, 10586, 10628, 10665, 10666, 10678, 10745, 10956, 11102, 11170, 117289, 122618, 1235, 1244, 130540, 135, 1356, 1401, 1404, 1437, 1490, 1493, 150577, 1509, 151056, 156, 160364, 1656, 1687, 171425, 1719, 176, 177, 1776, 1803, 1827, 196, 200734, 2023, 2147, 219790, 2212, 221895, 22806, 2289, 23228, 23534, 2356, 23569, 23643, 23766, 240, 26147, 2618, 26191, 2625, 2638, 285704, 2870, 2920, 2974, 3059, 306, 3115, 3118, 3123, 3236, 3237, 3239, 326, 3290, 3394, 342132, 3458, 3486, 3491, 3516, 3553, 3557, 3559, 356, 3560, 3569, 3570, 3572, 3576, 3586, 3606, 3654, 3655, 3663, 3798, 3899, 3934, 4082, 412, 4204, 4218, 4261, 4282, 4313, 4319, 4321, 4353, 4520, 4524, 4688, 471, 4794, 4795, 4982, 50943, 5138, 51561, 51744, 5243, 53347, 5341, 5444, 5453, 54541, 54826, 54899, 55289, 55755, 5583, 5588, 55937, 55971, 56244, 5673, 56901, 57007, 5743, 5747, 57705, 5771, 57719, 5788, 5890, 5911, 5966, 597, 624, 633, 6355, 6366, 6372, 639, 640, 6441, 652, 652968, 653361, 654, 6556, 6583, 6611, 6648, 6772, 6775, 6821, 7090, 7097, 7112, 7124, 7127, 7128, 7185, 7189, 7297, 7422, 7852, 79016, 7917, 79258, 79722, 7980, 800, 8013, 81567, 81849, 8200, 8320, 84159, 84162, 847, 84709, 84752, 85313, 858, 860, 8604, 861, 8714, 8740, 8764, 8836, 90355, 9052, 9135, 914, 9145, 916, 921, 9308, 9355, 9370, 940, 9415, 9429, 9474, 958"
C0011884,Diabetic Retinopathy,nervous system disease,"101928236, 114803, 1401, 183, 185, 23411, 2572, 266722, 285600, 3383, 339529, 5444, 54715, 58504, 6647, 7057, 7422, 836, 84898"
C0009363,Congenital ocular coloboma (disorder),nervous system disease,"10058, 10413, 3912, 392255, 501, 5080, 60, 6297, 6469, 71, 9158, 9573"
C0024121,Lung Neoplasms,benign neoplasm,"100, 100271687, 100271693, 10063, 1012, 10253, 1026, 10266, 1027, 1028, 1029, 1066, 10919, 11009, 11186, 11200, 1136, 1138, 1139, 1143, 116285, 1291, 1326, 1401, 1432, 1490, 1499, 153090, 1544, 1545, 1548, 1571, 1591, 1612, 1636, 1776, 1788, 1796, 1806, 182, 1938, 1956, 2, 2018, 2052, 2064, 2065, 207, 2074, 2099, 2202, 2254, 2260, 2263, 2272, 2305, 23462, 2353, 2520, 253650, 2627, 2638, 2697, 2705, 28234, 2876, 2878, 2886, 29108, 2944, 2950, 2952, 3162, 324, 3265, 3280, 332, 335, 3399, 345, 3458, 3476, 348, 355, 3553, 3558, 3569, 3586, 3659, 3725, 3726, 3845, 407035, 407041, 4170, 4233, 4312, 4319, 4353, 4354, 450093, 4524, 4609, 475, 4800, 4843, 4853, 4854, 4878, 4968, 5002, 5071, 5111, 5265, 5290, 541471, 5444, 5519, 55259, 55840, 5594, 5595, 5609, 563, 5728, 5740, 5743, 5757, 5894, 5915, 595, 598, 60, 6091, 634, 6362, 6414, 6439, 6441, 6599, 6657, 6696, 673, 675, 6776, 6794, 7011, 7015, 7037, 7040, 7048, 7099, 7124, 7157, 7253, 7276, 7298, 7306, 7367, 7428, 7474, 7490, 7508, 780, 79930, 81037, 841, 84864, 8517, 8626, 864, 8678, 8991, 900, 9046, 9547, 9588, 9940"
C0004114,Astrocytoma,cancer,"10397, 10683, 2099, 2100, 2260, 23462, 23493, 26524, 3091, 367, 3845, 4314, 4318, 4763, 4851, 4853, 4915, 57670, 5781, 673, 7157, 8202, 90, 9113"
C1260899,"Anemia, Diamond-Blackfan",immune system disease,"114086, 2623, 6125, 6135, 6138, 6154, 6165, 6201, 6204, 6218, 6223, 6229, 6231, 6234, 6235, 90121"
C0152013,Adenocarcinoma of lung (disorder),cancer,"10476, 10961, 1136, 1553, 1956, 196, 2023, 2064, 2067, 213, 2186, 226, 2309, 238, 27436, 2791, 2810, 2956, 301, 3028, 308, 3148, 3315, 335, 3726, 3845, 4000, 4437, 4921, 4968, 5290, 55937, 5604, 56244, 6098, 6648, 673, 6794, 7015, 7018, 7508, 7917, 81037, 822, 8626, 8890, 8893, 9582"
C0029422,Osteochondrodysplasias,musculoskeletal system disease,"10683, 1280, 1297, 1301, 2316, 2321, 2720, 3339, 3791, 50964, 59341, 596, 6399, 7422, 9719"
C0006142,Malignant neoplasm of breast,cancer,"100048912, 100381270, 100507118, 101927835, 101928292, 102724536, 10717, 11086, 11200, 124359, 126549, 1277, 129080, 1496, 152110, 1879, 2066, 207, 2263, 22891, 22913, 252983, 27324, 29086, 3708, 3783, 400406, 4046, 4194, 4214, 440193, 4683, 5083, 5144, 5195, 5283, 5290, 54790, 5567, 57178, 57591, 5888, 5890, 59352, 63876, 643714, 647121, 6478, 64858, 672, 675, 6934, 7015, 7048, 7140, 729582, 79068, 7984, 79931, 80129, 8028, 8178, 81847, 83539, 83990, 84142, 9055, 91433, 91768, 9497, 9877"
C1458155,Mammary Neoplasms,cancer,"10, 10010, 1003, 100506658, 102, 10236, 1027, 1029, 10297, 10318, 10381, 10397, 10457, 10468, 10481, 10499, 10542, 10551, 10599, 1063, 10660, 1072, 10855, 11009, 11065, 11067, 1111, 11200, 1192, 1269, 1294, 1312, 131965, 133522, 135228, 1364, 1374, 138046, 142, 1435, 1436, 1437, 1440, 1474, 1499, 151647, 152273, 1543, 1545, 1565, 1576, 1586, 1588, 161424, 1649, 167465, 1719, 1728, 174, 1786, 1788, 1789, 1806, 182, 1825, 1869, 1902, 1910, 1933, 1938, 1942, 1950, 1956, 196, 196403, 200315, 2004, 2023, 2033, 2050, 2057, 2063, 2064, 2065, 207, 208, 2091, 2099, 2100, 2101, 2114, 2118, 2122, 2146, 2152, 2173, 2194, 2202, 221687, 2248, 2249, 2255, 226, 2260, 2263, 2274, 22891, 22943, 22948, 2305, 23136, 2316, 2321, 23339, 23345, 2335, 23406, 23411, 23462, 23493, 2353, 23705, 25, 25800, 26040, 26150, 26227, 26508, 2662, 26986, 27098, 27246, 27324, 2771, 2821, 28514, 2852, 2876, 2877, 2879, 2886, 28957, 28998, 29072, 2920, 2921, 2950, 2977, 3002, 3006, 3014, 3032, 3084, 3087, 3090, 3091, 3161, 3162, 3169, 318, 3190, 3191, 3237, 3240, 3265, 3273, 3280, 3304, 332, 3320, 3456, 3458, 3476, 3479, 3480, 3488, 3490, 353, 3553, 3569, 3576, 3620, 367, 369, 3692, 3714, 3725, 374, 3756, 3791, 3815, 3845, 3856, 3875, 3925, 3945, 3952, 3953, 396, 3996, 400500, 4017, 4046, 406894, 406902, 406903, 406913, 406914, 406921, 406933, 406937, 406938, 406984, 406985, 406988, 406989, 406996, 407006, 407007, 407013, 407021, 4118, 4193, 4194, 4211, 4214, 4240, 4282, 4283, 4288, 43, 4311, 4312, 4313, 4314, 4318, 4323, 4363, 442909, 442910, 4504, 4524, 4548, 472, 4722, 4792, 4829, 4835, 4843, 4846, 4851, 4853, 4854, 4855, 4897, 4904, 5002, 5047, 5055, 5058, 50618, 50943, 51081, 51129, 5138, 51466, 5154, 51649, 5174, 51741, 5241, 5243, 5245, 5268, 5290, 5292, 5300, 5321, 540, 54567, 55294, 554210, 55809, 5609, 56100, 5655, 56942, 56945, 56946, 5728, 573, 5742, 5743, 5744, 574442, 57561, 5789, 580, 581, 5888, 5889, 5890, 5894, 590, 5914, 5915, 5925, 5935, 59352, 595, 596, 5965, 597, 5970, 5997, 6147, 6160, 6191, 6194, 6199, 6201, 6202, 6236, 6257, 6364, 6387, 63943, 6422, 6423, 6425, 6470, 6492, 650, 65005, 6513, 6514, 6518, 652, 6528, 659, 6591, 6615, 6623, 6648, 6696, 6714, 672, 675, 6774, 6776, 6790, 6926, 6935, 7015, 7020, 7025, 7037, 7052, 7057, 708, 7087, 7090, 7124, 7153, 7157, 7298, 7372, 7421, 7423, 7424, 7431, 7468, 7480, 7490, 7516, 7517, 7818, 79068, 79728, 7980, 80306, 8065, 80774, 8085, 81031, 8202, 8204, 8347, 83990, 840, 841, 8412, 8438, 847, 84866, 84870, 8493, 85236, 857, 8614, 8648, 8743, 8863, 8871, 8894, 898, 90, 9048, 9055, 9076, 9154, 9156, 9185, 92140, 92483, 9429, 9473, 9510, 958, 9582, 9590, 9611, 9623, 9668, 972, 9754, 978, 9801, 9821, 9839, 9877, 9968, 999"
C0018995,Hemochromatosis,inherited metabolic disorder,"1356, 148738, 30061, 3077, 3240, 4891, 57817, 650, 654, 6718, 7036, 7124"
C0030297,Pancreatic Neoplasm,cancer,"10232, 1029, 11009, 1209, 1268, 1269, 1499, 1616, 1647, 1806, 1890, 196, 2030, 2202, 2258, 23022, 2494, 2543, 27086, 28, 3091, 3439, 3440, 3442, 3576, 3651, 3791, 3845, 4061, 4072, 4221, 4318, 4609, 472, 4792, 5328, 5349, 54465, 546, 5468, 5727, 5728, 5743, 5744, 5909, 5925, 598, 6648, 6690, 672, 675, 6750, 6751, 6752, 6753, 6774, 6794, 6847, 688, 7015, 7040, 7124, 7157, 7249, 7298, 7423, 7490, 7873, 79728, 79783, 7980, 84133, 8626, 8743, 8795, 8829, 8837, 9564, 960, 999"
C0206754,Neuroendocrine Tumors,cancer,"1027, 1616, 4221, 546, 5744, 673, 6751, 6752, 6753, 7298"
C0024530,Malaria,parasitic infectious disease,"1012, 114609, 1154, 1378, 1401, 2213, 2532, 256892, 259197, 28, 2993, 2995, 3240, 3383, 4055, 4843, 493, 6521, 7124, 91752, 948"
C0162820,"Dermatitis, Allergic Contact",integumentary system disease,"10135, 10203, 10261, 10437, 10549, 1075, 10875, 10981, 1154, 133418, 1390, 1543, 156, 2114, 2162, 2215, 22822, 23460, 2533, 25797, 26034, 2920, 3290, 3458, 3552, 3558, 3559, 3565, 3567, 3586, 3684, 4084, 4222, 4360, 4780, 4814, 4926, 5067, 51284, 5292, 5327, 596, 5996, 6303, 6363, 63924, 6401, 6480, 6515, 654, 6696, 6769, 7124, 7130, 729230, 7378, 80150, 8140, 841, 8564, 8651, 8835, 915, 9168, 9235, 948"
C0011849,Diabetes Mellitus,acquired metabolic disease,"101927366, 1356, 1374, 153, 1536, 2335, 23411, 23671, 346171, 3630, 3667, 3799, 3953, 4217, 4508, 5443, 5444, 5468, 547, 5743, 5879, 653361, 6647, 7058, 847, 8639, 8856, 9370, 9970"
C0025521,Inborn Errors of Metabolism,inherited metabolic disorder,"1066, 1719, 1733, 3704, 3945, 3953, 4594, 4645, 5321, 5826, 64902, 6513, 6906, 7167, 7941, 9719"
C0598608,Hyperhomocysteinemia,inherited metabolic disorder,"113235, 1674, 27232, 29108, 4524, 4552, 4868, 5444, 7124, 834, 875"
C0030354,Papilloma,benign neoplasm,"1026, 1728, 1956, 2064, 3265, 4953, 5743, 595, 6648, 6698, 7040"
C0019693,HIV Infections,viral infectious disease,"10189, 10197, 10204, 1026, 10280, 10436, 10527, 10574, 10594, 10808, 10946, 10980, 10981, 1192, 1232, 1524, 1647, 1973, 1978, 213, 2208, 22948, 23198, 23411, 2971, 3068, 30835, 3106, 3107, 3240, 329, 330, 3313, 3315, 3320, 3326, 3329, 335, 3458, 3558, 3559, 3566, 3577, 3586, 3608, 3692, 3811, 3837, 393, 396, 397, 4067, 4150, 4153, 4193, 4927, 4953, 5265, 5479, 5685, 5686, 5687, 5692, 5699, 5702, 5705, 5709, 5714, 5719, 5720, 5721, 5727, 581, 5901, 5902, 6347, 6348, 6349, 6356, 6387, 6421, 6426, 64411, 6556, 6634, 6722, 6880, 7203, 7266, 7307, 7528, 80273, 85363, 8662, 8683, 9230, 940, 9531, 9861, 998"
C0027658,"Neoplasms, Germ Cell and Embryonal",cancer,"1761, 1911, 2067, 2072, 359787, 4254, 5460, 55729, 6337, 6515, 79923, 928, 9573"
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,monogenic disease,"10111, 11200, 4361, 4683, 5728, 580, 5888, 5889, 5892, 672, 675, 7157, 79728, 83990"
C0021841,Intestinal Neoplasms,benign neoplasm,"1026, 1027, 1499, 324, 4583, 5578, 5580, 581, 596, 7507, 9971"
C0038013,Ankylosing spondylitis,musculoskeletal system disease,"100507436, 101929072, 118429, 149233, 196527, 23046, 3105, 3106, 3593, 51752, 5734, 64170, 7850, 864, 9755"
C0010606,Adenoid Cystic Carcinoma,cancer,"10847, 10933, 1387, 1462, 1612, 182, 2011, 2019, 2033, 2175, 2195, 221037, 2264, 2309, 23135, 23209, 23220, 23269, 23543, 23619, 23774, 259266, 2620, 2621, 26292, 27255, 27344, 284058, 29072, 29128, 2982, 3008, 3265, 3485, 358, 3645, 3691, 3852, 3866, 4082, 4602, 4603, 4613, 472, 4781, 4851, 50805, 51477, 51514, 51659, 5174, 51742, 5176, 5290, 53335, 54441, 54531, 546, 54756, 54880, 55294, 55534, 55783, 5591, 55914, 5605, 5728, 57419, 5834, 58508, 595, 63035, 64324, 6484, 653220, 6595, 6605, 6651, 6659, 6664, 672, 7153, 7157, 7403, 7994, 80303, 81029, 81831, 8243, 8289, 8332, 84159, 8823, 9223, 93986, 9454, 9700, 9863, 9874, 999"
C0242383,Age related macular degeneration,nervous system disease,"100507098, 101927119, 102060414, 102724766, 10452, 1071, 114902, 1295, 1300, 2074, 221294, 23539, 24, 2444, 3075, 341, 3426, 348, 387715, 389641, 4855, 55013, 5654, 5819, 5890, 5978, 6103, 6239, 629, 64802, 6499, 7046, 7099, 7148, 717, 718, 735, 7422, 7936, 81579, 8797, 8878"
C0080178,Spina Bifida,nervous system disease,"1072, 1119, 2263, 25828, 5077, 5110, 5130, 5156, 5444, 57216, 6347"
C0339527,Leber Congenital Amaurosis,nervous system disease,"1406, 145226, 167691, 23418, 23746, 25794, 3000, 343035, 3614, 3769, 392255, 5189, 55812, 57096, 6121, 64802, 7287, 7399, 80184, 9227, 9657, 9742"
C0007193,"Cardiomyopathy, Dilated",cardiovascular system disease,"10102, 137735, 1440, 150094, 153, 154, 1674, 1756, 1824, 1832, 1956, 282996, 2876, 355, 356, 3688, 3757, 4000, 4306, 4607, 4624, 4625, 472, 4878, 4879, 55759, 5663, 5664, 5879, 5894, 5973, 6331, 6389, 64651, 6584, 6648, 70, 7112, 7134, 7137, 7139, 7273, 7709, 7840, 84665, 948, 9531"
C0035334,Retinitis Pigmentosa,nervous system disease,"10002, 10210, 10461, 10594, 123016, 1258, 1259, 130557, 138050, 1406, 145226, 22926, 23020, 23418, 23568, 23746, 24, 24148, 25794, 26121, 26160, 2979, 3000, 3420, 346007, 3614, 375298, 388939, 4117, 4647, 4751, 4901, 50939, 5145, 5148, 5158, 55812, 55857, 55975, 57096, 57709, 583, 5949, 5961, 5995, 6010, 6017, 6094, 6100, 6101, 6102, 6103, 6114, 6116, 6121, 6295, 64218, 7274, 7275, 7287, 7399, 7401, 7439, 762, 768206, 79797, 79947, 80025, 84100, 84140, 8481, 8842, 9094, 9128, 9129, 92211, 9227, 94137, 9742"
C0018213,Graves Disease,immune system disease,"100312954, 100507679, 10665, 10678, 114836, 114904, 115352, 117189, 1493, 23, 26191, 2638, 28, 3137, 3710, 50976, 64135, 646702, 7038, 7253, 80862, 84159, 8635"
